CAS RN,Chemical name,Australian Inventory of Industrial Chemicals (Inventory) listing,Safe Work Australia HCIS,ECHA Annex VI CLP,International Agency for Research on Cancer,United States National Toxicology Program Report on Carcinogens,European Commission Endocrine Disruptor Strategy,United Nations Environment Programme EDC,Government of Canada Toxic Substances List,ECHA Annex XIV,EU Substances of Very High Concern,Chemical Substance Control Law Japan,European Commission Endocrine Disruptor List,Date entry was added to the list
79-01-6,Trichloroethylene,Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,Carc. 1B H350; Muta. 2 H341,Group 1,Known human carcinogen,-,-,Schedule 1,Carcinogenic (Article 57a),Carcinogenic (Article 57a),Class II,-,01-July-2020
79-04-9,chloroacetyl chloride,Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
79-06-1,2-Propenamide,Listed - public,Carcinogenicity 1B H350; Mutagenicity 1B H340; Reproductive toxicity 2 H361f,Carc. 1B H350; Muta. 1B H340; Repr. 2 H361f,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,Carcinogenic (Article 57a); Mutagenic (Article 57b),-,-,01-July-2020
79-07-2,"2-chloracetamide; Acetamide, 2-chloro-",Listed - public,Reproductive toxicity 1B H360F,Repr. 2 H361f,-,-,-,-,-,-,-,-,-,01-July-2020
79-08-3,bromoacetic acid,Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
79-10-7,acrylic acid; prop-2-enoic acid; 2-Propenoic acid,Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,Group 3,-,-,-,-,-,-,-,-,01-July-2020
79-11-8,chloroacetic acid,Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
79-16-3,N-methylacetamide,Listed - public,Reproductive toxicity 1B H360D,Repr. 1B H360D,-,-,-,-,-,-,Toxic for reproduction (Article 57c),-,-,01-July-2020
79-21-0,peracetic acid . . . %,Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
79-34-5,"1,1,2,2-Tetrachloroethane",Listed - public,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
79-36-7,dichloroacetyl chloride,Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
79-39-0,"Methacrylamide; 2-methylacrylamide; 2-methylpropenamide; 2-propenamide, 2-methyl",Listed - Public,Reproductive toxicity (lactation) H362,-,-,-,-,-,-,-,-,-,-,24-September-2024
79-43-6,dichloroacetic acid,Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
79-44-7,"dimethylcarbamoyl chloride; Carbamic chloride, dimethyl-",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,Carc. 1B H350,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
79-46-9,"Propane, 2-nitro-",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,Carc. 1B H350,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
79-94-7,"tetrabromobisphenol-A;  2,2',6,6'-tetrabromo-4,4'-isopropylidenediphenol",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 2A,-,-,-,-,-,-,-,-,01-July-2020
80-05-7,"Phenol, 4,4'-(1-methylethylidene)bis-",Listed - public,Reproductive toxicity 2 H361f,Repr. 1B H360F,-,-,Category 1,-,Schedule 1,-,Toxic for reproduction (Article 57c); Endocrine disrupting properties (Article 57(f) - environment); Endocrine disrupting properties (Article 57(f) - human health),-,-,01-July-2020
80-07-9,bis(4-chlorophenyl) sulphone,Listed - Public,-,-,-,-,-,-,-,-,vPvB (Article 57e),-,-,24-September-2024
80-09-1,"Phenol, 4,4'-sulfonylbis-",Listed - public,Reproductive toxicity 2 H361f,-,-,-,-,Identified EDC,-,-,-,-,-,01-July-2020
80-15-9,"α,α-dimethylbenzyl hydroperoxide;  cumene hydroperoxide; Hydroperoxide, 1-methyl-1-phenylethyl",Listed - public,Mutagenicity 2 H341,-,-,-,-,-,-,-,-,-,-,01-July-2020
80-33-1,chlorfenson (ISO);  4-chlorophenyl 4-chlorobenzenesulfonate,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
80-43-3,"bis(α,α-dimethylbenzyl) peroxide",Listed - Public,Reproductive toxicity 1B H360D,Repr. 1B H360D,-,-,-,-,-,-,-,-,-,24-September-2024
80-46-6,"p-(1,1-dimethylpropyl)phenol",Listed - public,-,-,-,-,-,-,-,-,Endocrine disrupting properties (Article 57(f) - environment),-,-,01-July-2020
80-51-3,"4,4'-oxydi(benzenesulphonohydrazide)",Listed - Public,-,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,24-September-2024
80-54-6,"Benzenepropanal, 4-(1,1-dimethylethyl)-.alpha.-methyl-",Listed - public,Reproductive toxicity 2 H361f,-,-,-,-,-,-,-,-,-,-,01-July-2020
81-14-1,"musk ketone; 3,5-dinitro-2,6-dimethyl-4-tert-butylacetophenone; 4'-tert-butyl-2',6'-dimethyl-3',5'-dinitroacetophenone; Ethanone, 1-[4-(1,1-dimethylethyl)-2,6-dimethyl-3,5-dinitrophenyl]-",Listed - public,Carcinogenicity 2 H351; Aquatic (chronic) 1 H410,Carc. 2 H351; Aquatic Acute 1 H400; Aquatic Chronic H410,-,-,-,-,-,-,-,-,-,01-July-2020
81-15-2,"musk xylene; 5-5-tert-butyl-2,4,6-trinitro-m-xylene; Benzene, 1-(1,1-dimethylethyl)-3,5-dimethyl-2,4,6-trinitro-",Listed - public,Carcinogenicity 2 H351; Aquatic (chronic) 1 H410,Carc. 2 H351; Aquatic Acute 1 H400; Aquatic Chronic H410,Group 3,-,-,-,-,vPvB (Article 57 e),vPvB (Article 57e),-,-,01-July-2020
81-49-2,"9,10-Anthracenedione, 1-amino-2,4-dibromo-",Listed - public,Carcinogenicity 1B H350,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
81-81-2,warfarin (ISO); 4-hydroxy-3-(3-oxo-1-phenylbutyl)-2H-chromen-2-one,-,Reproductive toxicity 1A H360D,Repr. 1A H360D,-,-,-,-,-,-,-,-,-,01-July-2020
82-28-0,"9,10-Anthracenedione, 1-amino-2-methyl-",Listed - public,Carcinogenicity 2 H351,-,Group 3,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
82-68-8,quintozene (ISO);  pentachloronitrobenzene,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 3,-,-,-,-,-,-,-,-,01-July-2020
83-26-1,"pindone (ISO);  2-pivaloylindan-1,3-dione",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
83-59-0,"dipropyl 6,7-methylenedioxy-1,2,3,4-tetrahydro-3-methylnaphthalene-1,2-dicarboxylate;  propylisome",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
83-66-9,"Benzene, 1-(1,1-dimethylethyl)-2-methoxy-4-methyl-3,5-dinitro-",Listed - public,Reproductive toxicity 2 H361f,-,Group 3,-,-,-,-,-,-,-,-,01-July-2020
83-79-4,"(2R,6aS,12aS)-1,2,6,6a,12,12a-hexahydro-2-isopropenyl-8,9-dimethoxychromeno[3,4-b]furo[2,3-h]chromen-6-one;  rotenone",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
84-61-7,Dicyclohexyl phthalate,Listed - public,Reproductive toxicity 1B H360Df,Repr. 1B H360D,-,-,-,Identified EDC,-,-,Toxic for reproduction (Article 57c); Endocrine disrupting properties (Article 57(f) - human health),-,-,01-July-2020
84-65-1,"9,10-Anthracenedione",Listed - public,Carcinogenicity 1B H350,Carc. 1B H350,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
84-66-2,Diethyl phthalate,Listed - public,-,-,-,-,-,Identified EDC,-,-,-,-,-,01-July-2020
84-69-5,Diisobutyl phthalate,Listed - public,Reproductive toxicity 1B H360Df,Repr. 1B H360Df,-,-,-,Identified EDC,-,Toxic for reproduction (Article 57c),Toxic for reproduction (Article 57c); Endocrine disrupting properties (Article 57(f) - human health),-,-,01-July-2020
84-74-2,Dibutyl phthalate,Listed - public,Reproductive toxicity 1B H360Df; Aquatic (acute) 1 H400,Repr. 1B H360Df; Aquatic Acute 1 H400,-,-,Category 1,Identified EDC,-,Toxic for reproduction (Article 57c),Toxic for reproduction (Article 57c); Endocrine disrupting properties (Article 57(f) - human health),-,-,01-July-2020
84-75-3,Dihexyl phthalate,Listed - public,Reproductive toxicity 1B H360Df,Repr. 1B H360FD,-,-,-,Identified EDC,-,Toxic for reproduction (Article 57c),Toxic for reproduction (Article 57c),-,-,01-July-2020
85-00-7,diquat dibromide,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
85-01-8,Phenanthrene,Listed - public,-,-,Group 3,-,-,-,-,-,vPvB (Article 57e),-,-,01-July-2020
85-68-7,BBP,Listed - public,Reproductive toxicity 1B H360Df; Aquatic (chronic) 1 H410,Repr. 1B H360Df; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 3,-,Category 1,Identified EDC,-,Toxic for reproduction (Article 57c),Toxic for reproduction (Article 57c); Endocrine disrupting properties (Article 57(f) - human health),-,-,01-July-2020
85-83-6,"2-Naphthalenol, 1-[[4-(phenylazo)phenyl]azo]-",Listed - public,Carcinogenicity 2 H351,-,Group 3,-,-,-,-,-,-,-,-,01-July-2020
85-86-9,"2-Naphthalenol, 1-[[4-(phenylazo)phenyl]azo]-",Listed - public,Carcinogenicity 2 H351,-,Group 3,-,-,-,Schedule 1,-,-,-,-,01-July-2020
86-30-6,"Benzenamine, N-nitroso-N-phenyl-",Listed - public,Carcinogenicity 2 H351,-,Group 3,-,-,-,-,-,-,-,-,01-July-2020
86-50-0,"azinphos-methyl (ISO);  O,O-dimethyl-4-oxobenzotriazin-3-ylmethyl phosphorodithioate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
86-74-8,Carbazole,Listed - public,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
86-88-4,antu (ISO);  1-(1-naphthyl)-2-thiourea,-,Carcinogenicity 2 H351,Carc. 2 H351,Group 3,-,-,-,-,-,-,-,-,01-July-2020
87-59-2,"Benzenamine, 2,3-dimethyl-",Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341,-,-,-,-,-,-,-,-,-,-,01-July-2020
87-62-7,"2,6-xylidine; 2,6-dimethylaniline; Benzenamine, 2,6-dimethyl-",Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341,Carc. 2 H351,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
87-66-1,"pyrogallol; 1,2,3-trihydroxybenzene; 1,2,3-Benzenetriol",Listed - public,Mutagenicity 2 H341,Muta. 2 H341,-,-,-,-,-,-,-,-,-,01-July-2020
87-68-3,Hexachlorobutadiene,Listed - public,-,-,Group 3,-,-,-,Schedule 1,-,-,Class I,-,01-July-2020
87-76-3,"1-Hexadecanaminium, N,N,N-trimethyl-, salt with pentachlorophenol (1:1)",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
87-86-5,Pentachlorophenol,-,Carcinogenicity 2 H351; Aquatic (chronic) 1 H410,Carc. 2 H351; Aquatic Acute 1 H400; Aquatic Chronic H410,Group 1,Reasonably anticipated to be a known human carcinogen,-,Identified EDC,-,-,-,Class I,-,01-July-2020
87-90-1,"symclosene; trichloroisocyanuric acid; trichloro-1,3,5-triazinetrion; 1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3,5-trichloro-",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
88-06-2,"2,4,6-trichlorophenol",Listed - public,Carcinogenicity 2 H351; Aquatic (chronic) 1 H410,Carc. 2 H351; Aquatic Acute 1 H400; Aquatic Chronic H410,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
88-10-8,diethylcarbamoyl chloride,-,Carcinogenicity 2 H351,Carc. 2 H351,-,-,-,-,-,-,-,-,-,01-July-2020
88-12-0,1-vinyl-2-pyrrolidone,Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,Group 3,-,-,-,-,-,-,-,-,01-July-2020
88-72-2,"Benzene, 1-methyl-2-nitro-",Listed - public,Carcinogenicity 1B H350; Mutagenicity 1B H340; Reproductive toxicity 2 H361,Carc. 1B H350; Muta. 1B H340; Repr. 2 H361f,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
88-73-3,2-Chloronitrobenzene,Listed - public,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
88-85-7,"dinoseb (ISO);  6-sec-butyl-2,4-dinitrophenol",Listed - public,Reproductive toxicity 1B H360Df; Aquatic (chronic) 1 H410,Repr. 1B H360Df; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,Toxic for reproduction (Article 57c),-,-,01-July-2020
88-88-0,"2-chloro-1,3,5-trinitrobenzene",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
89-49-6,"Cyclohexanol, 5-methyl-2-(1-methylethenyl)-, acetate",Listed - Public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,24-September-2024
89-61-2,"1,4-Dichloro-2-nitrobenzene",Listed - public,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
89-79-2,"Cyclohexanol, 5-methyl-2-(1-methylethenyl)-, [1R-(1.alpha.,2.beta.,5.alpha.)]-",Listed - Public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,24-September-2024
89-82-7,Pulegone,Listed - public,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
90-04-0,"o-methoxyaniline; o-anisidine; o-Benzenamine, 2-methoxy-; anisidine",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,Carc. 1B H350; Muta. 2 H341,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,Carcinogenic (Article 57a),-,-,01-July-2020
90-41-5,biphenyl-2-ylamine,-,Carcinogenicity 2 H351,Carc. 2 H351,-,-,-,-,-,-,-,-,-,01-July-2020
90-43-7,"2-2-phenylphenol (ISO);   biphenyl-2-ol; 2-  2-hydroxybiphenyl; [1,1'-Biphenyl]-2-ol",Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Aquatic (acute) 1 H400,Aquatic Acute 1 H400,Group 3,-,-,-,-,-,-,-,-,01-July-2020
90-94-8,"Methanone, bis[4-(dimethylamino)phenyl]-",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,Carc. 1B H350; Muta. 2 H341,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,Carcinogenic (Article 57a),-,-,01-July-2020
91-08-7,"Toluene 2,6-diisocyanate",Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,-,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
91-20-3,Naphthalene,Listed - public,Carcinogenicity 2 H351; Aquatic (chronic) 1 H410,Carc. 2 H351; Aquatic Acute 1 H400; Aquatic Chronic H410,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
91-22-5,Quinoline,Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,Carc. 1B H350; Muta. 2 H341,Group 2B,-,-,-,Schedule 1,-,-,-,-,01-July-2020
91-23-6,2-nitroanisole,-,Carcinogenicity 1B H350,Carc. 1B H350,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
91-59-8,2-naphthylamine,-,Carcinogenicity 1A H350,Carc. 1A H350,Group 1,Known human carcinogen,-,-,-,-,-,-,-,01-July-2020
91-94-1,"3,3'-Dichlorobenzidine",Listed - public,Carcinogenicity 1A H350; Mutagenicity 2 H341; Aquatic (chronic) 1 H410,Carc. 1B H350; Aquatic Acute I H400; Aquatic Chronic 1 H410,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
91-95-2,"biphenyl-3,3',4,4'-tetrayltetraamine;  diaminobenzidine",-,Carcinogenicity 1B H350; Mutagenicity 2 H341,Carc. 1B H350; Muta. 2 H341,-,-,-,-,-,-,-,-,-,01-July-2020
92-52-4,biphenyl;  diphenyl,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
92-67-1,biphenyl-4-ylamine;  xenylamine;  4-aminobiphenyl,-,Carcinogenicity 1A H350,Carc. 1A H350,Group 1,Known human carcinogen,-,-,-,-,Carcinogenic (Article 57a),-,-,01-July-2020
92-87-5,Benzidine,Listed - public,Carcinogenicity 1A H350; Aquatic (chronic) 1 H410,Carc. 1B H350; Aquatic Acute I H400; Aquatic Chronic 1 H410,Group 1,Known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
92-93-3,4-nitrobiphenyl,-,Carcinogenicity 1B H350,Carc. 1B H350,Group 3,-,-,-,-,-,-,-,-,01-July-2020
93-15-2,"Benzene, 1,2-dimethoxy-4-(2-propenyl)-",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
93-16-3,"Benzene, 1,2-dimethoxy-4-(1-propenyl)-",Listed - Public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,24-September-2024
93-29-8,"Phenol, 2-methoxy-4-(1-propenyl)-, acetate",Listed - Public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,24-September-2024
93-72-1,"fenoprop (ISO);  2-(2,4,5-trichlorophenoxy)propionic acid",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
93-76-5,"2,4,5-T (ISO);  2,4,5-trichlorophenoxy acetic acid",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
94-13-3,n-Propyl p-hydroxybenzoate,Listed - public,-,-,-,-,-,Identified EDC,-,-,-,-,-,01-July-2020
94-26-8,n-Butyl p-hydroxybenzoate,Listed - public,-,-,-,-,-,Identified EDC,-,-,-,-,-,01-July-2020
94-58-6,Dihydrosafrole,Listed - public,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
94-59-7,"safrole;  5-allyl-1,3-benzodioxole",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,Carc. 1B H350; Muta. 2 H341,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
94-74-6,MCPA (ISO);  4-chloro-o-tolyloxyacetic acid,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
94-75-7,"2,4-D (2,4-dichlorophenoxyacetic acid) (See also Chlorophenoxy herbicides)",-,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
94-81-5,MCPB (ISO);  4-(4-chloro-o-tolyloxy) butyric acid,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
95-05-6,"Thiodicarbonic diamide ([(H2N)C(S)]2S), tetraethyl-",Listed - Public,Mutagenicity 2 H341,-,-,-,-,-,-,-,-,-,-,24-September-2024
95-06-7,"sulfallate (ISO);  2-chloroallyl N,N-dimethyldithiocarbamate",-,Carcinogenicity 1B H350; Aquatic (chronic) 1 H410,Carc. 1B H350; Aquatic Acute 1 H400; Aquatic Chronic H410,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
95-33-0,"N-cyclohexylbenzothiazole-2-sulphenamide; N-cyclohexylbenzothiazole-2-sulfenamide
",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
95-50-1,"1,2-dichlorobenzene;  o-dichlorobenzene",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 3,-,-,-,-,-,-,-,-,01-July-2020
95-53-4,"o-toluidine; 2-aminotoluene; Benzenamine, 2-methyl-",Listed - public,Carcinogenicity 1A H350; Mutagenicity 1B; Aquatic (acute) 1 H400,Carc. 1B H350; Aquatic Acute I H400,Group 1,Known human carcinogen,-,-,-,-,Carcinogenic (Article 57a),-,-,01-July-2020
95-54-5,"1,2-Benzenediamine; o-phenylenediamine",Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Aquatic (chronic) 1 H410,Carc. 2 H351; Muta. 2 H341; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
95-55-6,2-aminophenol,Listed - public,Mutagenicity 2 H341,Muta. 2 H341,-,-,-,-,-,-,-,-,-,01-July-2020
95-64-7,"Benzenamine, 3,4-dimethyl-",Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341,-,-,-,-,-,-,-,-,-,-,01-July-2020
95-68-1,"Benzenamine, 2,4-dimethyl-",Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341,-,Group 3,-,-,-,-,-,-,-,-,01-July-2020
95-69-2,"4-chloro-o-toluidine; Benzenamine, 4-chloro-2-methyl-",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341; Aquatic (chronic) 1 H410,Carc. 1B H350; Muta. 2 H341; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
95-76-1,"3,4-dichloroaniline; Benzenamine, 3,4-dichloro-",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,Category 1,-,-,-,-,-,-,01-July-2020
95-78-3,"Benzenamine, 2,5-dimethyl-",Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341,-,Group 3,-,-,-,-,-,-,-,-,01-July-2020
95-79-4,"Benzenamine, 5-chloro-2-methyl-",Listed - Public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,24-September-2024
95-80-7,"4-methyl-m-phenylenediamine;  2,4-toluenediamine",Listed - public,Carcinogenicity 1B H350; Reproductive toxicity 2 H361,Carc. 1B H350; Muta. 2 H341; Repr. 2 H361f,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,Carcinogenic (Article 57a),-,-,01-July-2020
95-83-0,4-Chloro-ortho-phenylenediamine,Listed - public,-,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
95-85-2,2-Amino-4-chlorophenol,Listed - public,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
95-95-4,"2,4,5-trichlorophenol",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
96-05-9,allyl methacrylate;  2-methyl-2-propenoic acid 2-propenyl ester,Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
96-09-3,"styrene oxide; (epoxyethyl)benzene; phenyloxirane; Oxirane, phenyl-",Listed - public,Carcinogenicity 1B H350,Carc. 1B H350,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
96-12-8,"1,2-dibromo-3-chloropropane",-,Carcinogenicity 1B H350; Mutagenicity 1B H340; Reproductive toxicity 1A H360F,Carc. 1B H350; Muta. 1B H340; Repr. 1A H360F,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
96-13-9,"2,3-dibromopropan-1-ol; 2,3-dibromo-1-propanol; 1-Propanol, 2,3-dibromo-",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341; Reproductive toxicity 2 H361f,Carc. 1B H350; Repr. 2 H361f,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
96-18-4,"1,2,3-trichloropropane; Propane, 1,2,3-trichloro-",Listed - public,Carcinogenicity 1B H350; Reproductive toxicity 1B H360F,Carc. 1B H350; Repr. 1B H360F,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,-,-,Carcinogenic (Article 57a); Toxic for reproduction (Article 57c),-,-,01-July-2020
96-20-8,"1-Butanol, 2-amino-",Listed - public,Reproductive toxicity 2 H361f,-,-,-,-,-,-,-,-,-,-,01-July-2020
96-23-1,"1,3-dichloro-2-propanol; 2-Propanol, 1,3-dichloro-",Listed - public,Carcinogenicity 1B H350,Carc. 1B H350,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
96-24-2,"1,2-Propanediol, 3-chloro-",Listed - public,Carcinogenicity 1B H350; Reproductive toxicity 1B H360F,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
96-29-7,"2-Butanone, oxime",Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,-,-,-,-,Schedule 1,-,-,-,-,01-July-2020
96-33-3,Methyl acrylate,Listed - public,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
96-45-7,ethylene thiourea;  imidazolidine-2-thione;  2-imidazoline-2-thiol,Listed - public,Reproductive toxicity 1B H360D,Repr. 1B H360D,Group 3,Reasonably anticipated to be a known human carcinogen,-,-,-,-,Toxic for reproduction (Article 57c),-,-,01-July-2020
96-91-3,"amino-4,6-dinitrophenol; picramic acid",Listed - Public,Reproductive toxicity 1B H360F,-,-,-,-,-,-,-,-,-,-,24-September-2024
97-17-6,"dichlofenthion (ISO);  O-,4-dichlorophenyl O,O-diethyl phosphorothioate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
97-23-4,dichlorophen (ISO),Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
97-54-1,"Phenol, 2-methoxy-4-(1-propenyl)-",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
97-56-3,"4-o-tolylazo-o-toluidine; 4-amino-2',3-dimethylazobenzene; fast garnet GBC base; AAT; o-aminoazotoluene; Benzenamine, 2-methyl-4-[(2-methylphenyl)azo]-",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,Carc. 1B H350,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,Carcinogenic (Article 57a),-,-,01-July-2020
